"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
mother in law gifts,岳母的礼物,,0.29%,视频广告词,"32,918 ",4 ,B0C27FG8L9/B0CDRDK6MR/B0C2771TLS/B0CXJ9338V,"11,468","59,469 ",844 ,1.42%,"1,520,817 ","25,483 ",20 ,12 ,"29,769 ",2.0 ,183 ,10.5%,6.1%,$1.62,$1.22 - $2.03,B09R8TW6VX,4.0%,1.3%,B091ZFL4X5,3.2%,2.6%,B09MQ5L5N9,3.2%,2.2%,"B0BXSXHBLL,B0BZPCGBYT,B08MZDG5YD,B0BCJY8KND,B0CNRVPHXS,B08YMTMFJ4,B09DKGXMY6,B09M7MMXYZ,B0BYNJ8TB7,B0BG82GT8G"
gifts for her,给她的礼物,,0.29%,自然搜索词,"32,064 ",3 ,B0C27FG8L9/B0CDRDK6MR/B0C2771TLS,"2,189","209,402 ","2,638 ",1.26%,"5,205,392 ","100,014 ",61 ,6 ,"131,230 ",1.6 ,255 ,9.4%,5.8%,$2.21,$1.33 - $2.75,B09ZXJDSL5,4.2%,2.0%,B08YWP5QRF,2.7%,2.2%,B0BX92ZT75,2.6%,1.6%,"B09X1XN3FZ,B0BX92ZT75,B089D3Q24T,B0BPHQWPM4,B08GHNRG5Q,B0BNYR7MQV,B01MFGN8S5,B0BFHXRG1F,B07K38QBKQ,B09RN1ZH6L"
candle lamp warmer with timer,带定时器的烛光暖气片,,0.28%,自然搜索词/HR推荐词/SP广告词,"31,620 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CZ9F35PT/B0CDRDK6MR/B0CFLRBTYN,"81,537","11,669 ",395 ,3.39%,"255,621 ","5,764 ",9 ,10 ,"1,178 ",9.9 ,211 ,12.6%,2.9%,$1.80,$1.47 - $2.01,B0CDRDK6MR,5.9%,1.2%,B0CQQLYD3W,3.4%,1.7%,B0DDPHQC98,3.4%,0.0%,"B0CTJGJL2T,B0BWJRJYS7,B0CHN15LWF,B0C2771TLS,B0CDRDK6MR,B0D6W284LH,B0CP95C852,B0BZ53N7RL,B0CT274BX5,B0CCYCBRSK"
sister gifts,姐姐的礼物,,0.28%,自然搜索词,"30,972 ",1 ,B0CDRDK6MR,"4,031","130,542 ","3,289 ",2.52%,"3,243,563 ","63,001 ",75 ,25 ,"181,980 ",0.7 ,346 ,14.7%,8.3%,$0.74,$0.55 - $0.93,B0C2TR35LT,6.0%,3.2%,B0BQ2TZ1NV,4.4%,3.4%,B0BWJG1DGS,4.3%,1.8%,"B0BQ2TZ1NV,B07BNJ76LM,B08SJ3KTB2,B083QGXVXB,B0C2TR35LT,B0CR17M53J,B0BY8BFFQ9,B0CX22V7QD,B0CDNTC6QK,B09JP3XRG2"
coquette room decor,风骚房间装饰,,0.27%,自然搜索词/视频广告词,"30,601 ",3 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"12,778","70,768 ",191 ,0.27%,"1,756,927 ","27,346 ",5 ,23 ,"4,013 ",17.6 ,344 ,13.8%,4.4%,$0.34,$0.25 - $0.43,B0D5VS1V8V,5.3%,3.3%,B08Q2Y9GQS,4.8%,0.0%,B01HNCV8PI,3.8%,1.1%,"B0D5VS1V8V,B08Q2Y9GQS,B08BDB8FL5,B071PB659V,B01HNCV8PI,B0D14S8PJF,B07N3FX98D,B08CB9PTBC,B0D98J82Y1,B07RWK6B8P"
candle lamps,蜡烛灯,,0.27%,自然搜索词/视频广告词/SP广告词,"30,438 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0C27FG8L9/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"93,803","15,143 ",298 ,1.97%,"392,829 ","7,496 ",7 ,2 ,"1,477 ",10.3 ,219 ,14.7%,10.7%,$1.60,$1.28 - $1.79,B0CDRDK6MR,6.5%,2.4%,B0CQQLYD3W,4.3%,8.3%,B0BWJRJYS7,4.0%,0.0%,"B0CTJGJL2T,B0BWJRJYS7,B0D9HPTW4G,B0CGZS5129,B0CP95C852,B0BZPCGBYT,B0BZPGDR1B,B0D2WS9YFJ,B0D5GF7PMV,B0CCYCBRSK"
lamp candle warmer for jar candles,用于罐装蜡烛的灯烛加热器,Y,0.27%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"30,418 ",10 ,B0CFLRBTYN/B0CZ9F35PT/B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"110,511","8,961 ",225 ,2.53%,"225,387 ","4,075 ",6 ,1 ,"1,038 ",8.6 ,35 ,22.4%,18.9%,,-,B0C9D9344S,11.2%,9.4%,B0CDRDK6MR,7.1%,5.7%,B0DDX8MYKQ,4.1%,3.8%,"B0CTJGJL2T,B0D9HPTW4G,B0CCYCBRSK,B0DC6GPFZH,B0CT274BX5,B0CXJ9338V,B0BZ7ZDVRW,B0CDRDK6MR,B0CHN15LWF,B08PPYNJMX"
lamp,灯,,0.27%,自然搜索词,"29,844 ",9 ,B0CGZS5129/B0C2771TLS/B0CDRDK6MR/B0C27FG8L9/B0CFLRBTYN/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V/B0DDX8MYKQ,"1,197","404,261 ","7,559 ",1.88%,"8,091,680 ","198,855 ",176 ,79 ,"21,231 ",19.0 ,583 ,18.4%,20.3%,$1.58,$1.34 - $2.23,B07Z5NQPDS,8.7%,11.3%,B0BZXNSW5K,4.9%,3.8%,B074XPNS3Z,4.8%,5.3%,"B099WTN2TR,B07Z5NQPDS,B0BPHP18HJ,B0BZXNSW5K,B07Z8CNCLN,B09XDJ7PQR,B06W9FKF92,B086ZLGLV3,B074XPNS3Z,B09NLWGNY7"
candle light,烛光,Y,0.26%,自然搜索词/AC推荐词,"29,549 ",10 ,B0CFLRBTYN/B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0C27FG8L9,"97,910","16,659 ",126 ,0.76%,"355,270 ","7,463 ",3 ,4 ,"6,480 ",2.6 ,176 ,16.1%,9.6%,$1.41,$0.95 - $1.75,B06XCTP65H,6.0%,6.0%,B0CDRDK6MR,5.8%,0.0%,B0CDL3V8L8,4.3%,3.6%,"B0CTJGJL2T,B07YHPRWSF,B07D266SGW,B06XCTP65H,B0C45BPJFC,B07DN39C5J,B0C6SLKK7H,B0BG54HNQ9,B0CCYCBRSK,B08LMGMHBN"
gifts for mother in law,给岳母的礼物,,0.25%,自然搜索词,"28,465 ",4 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129/B0CXJ9338V,"19,847","56,104 ",544 ,0.97%,"1,661,777 ","22,563 ",13 ,11 ,"29,803 ",1.9 ,66 ,13.1%,8.7%,$1.61,$1.21 - $2.00,B07GBFT6Z3,5.0%,1.5%,B09MQ5L5N9,4.6%,4.6%,B09JNRXJD6,3.6%,2.6%,"B08MZDG5YD,B089D3Q24T,B0BYNJ8TB7,B091ZFL4X5,B0CNRVPHXS,B0193XJZ1Y,B07GBFT6Z3,B08YMTMFJ4,B09R8TW6VX,B0BVRGZFLR"
best women gifts 2024,,,0.25%,自然搜索词/视频广告词,"28,321 ",3 ,B0C2771TLS/B0C27FG8L9/B0CDRDK6MR,"10,511","134,350 ","4,232 ",3.15%,"3,991,033 ","55,451 ",96 ,0 ,"53,375 ",2.5 ,242 ,11.6%,5.5%,$1.37,$1.02 - $1.71,B07SM61FCT,4.6%,1.8%,B0B7BP6CJN,3.8%,1.7%,B09MQ5L5N9,3.2%,2.0%,"B0BJYCRS51,B0CR139ZKJ,B089D3Q24T,B0CDBX1TV9,B0BFL2XLY5,B0D9Y9DXLQ,B08SWFJLDL,B0BJXRWWHX,B0CWV5C3XH,B0D95DR5V4"
best gifts 2024 women,,,0.25%,自然搜索词,"28,006 ",3 ,B0C27FG8L9/B0CDRDK6MR/B0C2771TLS,"6,818","96,625 ","3,410 ",3.53%,"2,233,229 ","44,876 ",78 ,0 ,"53,077 ",1.8 ,224 ,12.0%,6.5%,$1.01,$0.76 - $1.26,B09MQ5L5N9,4.6%,3.9%,B07SM61FCT,3.9%,1.7%,B0B7BP6CJN,3.5%,0.9%,"B0D9Y9DXLQ,B0DCZ3H6Q5,B0CDBX1TV9,B0CR139ZKJ,B0DK95K86G,B0DB13LFLD,B0DM5YJZKC,B089D3Q24T,B0DKJHKFD3,B0BJXRWWHX"
home decor clearance,家居装饰清仓,,0.25%,自然搜索词,"27,617 ",7 ,B0CQQLYD3W/B0CTJGJL2T/B0C2771TLS/B0CDRDK6MR/B0CGZS5129/B0CXJ9338V/B0DDX8MYKQ,"36,883","33,803 ",155 ,0.46%,"958,226 ","16,012 ",4 ,0 ,"169,447 ",0.2 ,263 ,12.2%,4.1%,$0.91,$0.68 - $1.13,B0CPPVH7KF,5.6%,3.1%,B0CFGYFCYL,3.7%,1.0%,B0CJ56M8D4,2.9%,0.0%,"B0CQQLYD3W,B0CDRDK6MR,B09FK1GSXY,B000QTUJXS,B0CJ56M8D4,B0CTG2FNYV,B09Y8SV5RY,B0D4DTH6BT,B08PBG6QHZ,B07RJVT9RP"
electric candle warmer,电热烛台,,0.25%,自然搜索词/视频广告词/SP广告词,"27,553 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CTJGJL2T/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0C27FG8L9/B0CFLRBTYN,"85,716","16,535 ",560 ,3.39%,"487,266 ","8,189 ",13 ,16 ,"2,412 ",6.9 ,95 ,19.1%,14.4%,$1.79,$1.35 - $2.25,B09YCVYCQ2,7.4%,7.6%,B0CDRDK6MR,6.2%,3.8%,B0CG8MNCYS,5.4%,3.0%,"B0BWJRJYS7,B0CTJGJL2T,B0D9HPTW4G,B0CDRDK6MR,B0CGZS5129,B0036FQDA2,B0CHN15LWF,B0CXJ9338V,B0D5GF7PMV,B012E36JZ0"
vintage lamp,复古灯,,0.24%,自然搜索词,"26,462 ",4 ,B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CTJGJL2T,"29,426","41,742 ",112 ,0.27%,"1,017,999 ","20,750 ",3 ,6 ,"20,925 ",2.0 ,123 ,18.6%,8.1%,$0.49,$0.37 - $0.62,B0BYNDWHJ3,7.0%,2.7%,B0CWNVV16D,6.4%,2.7%,B0D5YNHXQ7,5.2%,2.7%,"B07BF3F6B6,B0CWNVV16D,B095KC38LG,B0D3WQKZ19,B076PJXKPP,B0BYNDWHJ3,B0D5YQSJZ2,B0CGZS5129,B08XQ1RY54,B0D3WTFWQ9"
flower candle warmer lamp,花卉蜡烛暖灯,,0.23%,自然搜索词/品牌广告词/视频广告词,"25,855 ",10 ,B0CQQLYD3W/B0DDX8MYKQ/B0C27FG8L9/B0CTJGJL2T/B0CGZS5129/B0CXJ9338V/B0C2771TLS/B0CZ9F35PT/B0CDRDK6MR/B0CFLRBTYN,"83,813","15,924 ",414 ,2.60%,"391,980 ","7,236 ",10 ,22 ,571 ,27.9 ,186 ,38.5%,15.2%,$1.45,$1.14 - $1.76,B0C7K6HG74,14.2%,6.3%,B0BZ53N7RL,13.4%,6.3%,B0CGZS5129,11.0%,2.5%,"B0CJRDJ8N6,B0C7K6HG74,B0D3KS6QTH,B0D3PKRCW3,B0CRD6RYYC,B0CCJHDHHW,B0C27FG8L9,B0DGKDVLGS,B0CBTHPPFV,B0CGZS5129"
a candle warmer lamp,,,0.23%,自然搜索词,"25,346 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"109,612","7,114 ",251 ,3.53%,"142,585 ","3,430 ",6 ,3 ,"1,331 ",5.3 ,58 ,26.3%,11.8%,,-,B0CDRDK6MR,12.7%,2.9%,B0CQQLYD3W,7.4%,5.9%,B0CTJGJL2T,6.3%,2.9%,"B0CTJGJL2T,B0BZPH17TR,B0CNR9SF74,B0D2WS9YFJ,B0BZPGDR1B,B0BY2CPNKH,B0BWJRJYS7,B0CJHQXYZS,B0CQQLYD3W,B0D8JH8PKN"
apartment decor,公寓装饰,,0.22%,自然搜索词,"24,598 ",5 ,B0CGZS5129/B0CDRDK6MR/B0C2771TLS/B0C27FG8L9/B0CXJ9338V,"20,247","58,735 ",99 ,0.17%,"1,224,754 ","25,991 ",3 ,0 ,"65,913 ",0.9 ,251 ,11.7%,10.4%,$0.57,$0.43 - $0.73,B09ZRT5QPG,5.7%,2.3%,B09MFDXZHJ,3.0%,5.8%,B0C2Y3T5LN,2.9%,2.3%,"B0C4XX8NKQ,B09GLNR9S9,B09ZRT5QPG,B08DFLJL24,B0925LXDSG,B07712H557,B07T6D2QW5,B09MFDXZHJ,B0B7RRGJCM,B00E3V4Y0O"
battery operated candle warmer,电池供电的蜡烛加热器,,0.22%,自然搜索词,"24,316 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CFLRBTYN/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR,"121,091","11,429 ",56 ,0.49%,"254,546 ","4,688 ",2 ,1 ,"1,061 ",10.8 ,57 ,20.9%,0.0%,$1.50,$1.22 - $1.73,B0B1TGKYBV,8.3%,0.0%,B0DDX8MYKQ,6.4%,0.0%,B012E36JZ0,6.2%,0.0%,"B0B1TGKYBV,B0036FQDA2,B01N9Y6077,B0CQP729RC,B0CTJGJL2T,B0CHN15LWF,B0D8JH8PKN,B012E36JZ0,B0BZPH17TR,B0CGZS5129"
kitchen decor,厨房装饰,,0.22%,自然搜索词,"24,256 ",3 ,B0CTJGJL2T/B0CDRDK6MR/B0C2771TLS,"3,915","141,910 ",737 ,0.52%,"3,613,872 ","58,895 ",17 ,12 ,"154,548 ",0.9 ,714 ,16.0%,11.8%,$0.68,$0.50 - $0.85,B0BLSM37FJ,7.6%,6.0%,B0C2Y3T5LN,4.9%,3.5%,B0C68RBNYL,3.5%,2.3%,"B0BQHV84H6,B0C3QZ7SNF,B07DQCJ84X,B0BQ5MJD8W,B0BQHX77TC,B0CKQNP26P,B09J2H5WWQ,B09NC1VGTW,B0BLSM37FJ,B0C49CL45M"
home decor living room,家装客厅,,0.21%,自然搜索词,"23,795 ",5 ,B0C2771TLS/B0CQQLYD3W/B0CDRDK6MR/B0C27FG8L9/B0CGZS5129,"8,157","81,638 ",253 ,0.31%,"2,214,673 ","32,455 ",7 ,0 ,"129,798 ",0.6 ,405 ,11.3%,5.0%,$1.22,$0.92 - $1.52,B09NC1VGTW,5.4%,2.7%,B09F9B3BCY,3.0%,0.9%,B09ZRT5QPG,2.8%,1.4%,"B09Y8SV5RY,B09FK1GSXY,B000QTUJXS,B0CD59K7PX,B07DQCJ84X,B09F9B3BCY,B09GFSN4HW,B0B24QJ217,B0BQHV84H6,B0BTRZBGGZ"
house warming gifts,暖房礼物,,0.21%,自然搜索词,"23,756 ",8 ,B0DDX8MYKQ/B0CGZS5129/B0CDRDK6MR/B0CTJGJL2T/B0C27FG8L9/B0C2771TLS/B0CXJ9338V/B0CZ9F35PT,"40,353","33,445 ",511 ,1.53%,"696,478 ","15,291 ",12 ,27 ,"59,416 ",0.6 ,135 ,10.1%,6.3%,$1.66,$1.41 - $2.05,B0B7VM5NC7,3.8%,2.3%,B08YQRPYPS,3.4%,4.0%,B085NDYY1P,2.9%,0.0%,"B01DTFF0Y8,B09RN1ZH6L,B0B24QJ217,B0CZ3JSJNQ,B089FBYT3W,B0BWJRJYS7,B0DFBC8MTX,B07JN5467R,B0CJYN69ZY,B08YQRPYPS"
bedroom decor for women,女性卧室装饰,,0.21%,自然搜索词,"23,538 ",4 ,B0C27FG8L9/B0CGZS5129/B0C2771TLS/B0CDRDK6MR,"38,600","37,076 ","1,015 ",2.74%,"1,111,242 ","16,572 ",24 ,2 ,"78,448 ",0.5 ,51 ,13.9%,7.3%,$3.06,$2.29 - $3.83,B0BG46KCCH,5.7%,2.4%,B0CN11479K,4.1%,4.9%,B0CRCWF9XP,4.1%,0.0%,"B0CG6NJTZ2,B0CNT5DMHC,B0CD59K7PX,B09GLNR9S9,B0BZSXHFFW,B0CHN15LWF,B0995M1JW7,B0BG46KCCH,B08P4SWL47,B0BSD5S9TQ"
regalos para mujer,女权主义者,,0.20%,自然搜索词,"22,910 ",2 ,B0CDRDK6MR/B0C27FG8L9,"7,568","70,592 ","1,778 ",2.52%,"1,558,240 ","29,553 ",41 ,1 ,"32,840 ",2.2 ,276 ,10.7%,2.8%,$0.40,$0.31 - $0.50,B07Y2BP7F2,4.4%,1.3%,B0C8K27GR3,3.3%,0.6%,B07GBFT6Z3,3.0%,0.9%,"B095WS16NM,B07XC66L3G,B08VZPF1V9,B095PXP76W,B097BW8KN7,B09Z83JHZT,B0C27FG8L9,B000CQX62G,B01H1UHV5S,B0B6JTX6NB"
candle melter,蜡烛熔化,,0.20%,自然搜索词,"22,431 ",10 ,B0CXJ9338V/B0C2771TLS/B0CQQLYD3W/B0DDX8MYKQ/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"119,937","12,432 ",257 ,2.07%,"349,341 ","5,768 ",6 ,9 ,"2,602 ",4.8 ,37 ,29.0%,25.0%,$0.70,$0.52 - $0.88,B09YCVYCQ2,15.1%,16.7%,B09BVR2Q9N,8.0%,6.7%,B0CDRDK6MR,6.0%,1.7%,"B0BXFGV3C5,B0CRVJFSL4,B09BVR2Q9N,B0BWJRJYS7,B0D8JH8PKN,B0CTJGJL2T,B09YCVYCQ2,B0BX6B5N2W,B0CGZS5129,B089B3LQSS"
sister gifts for women,给女士的姐妹礼物,,0.20%,自然搜索词,"21,986 ",1 ,B0CDRDK6MR,"7,552","65,404 ","3,799 ",5.81%,"1,868,210 ","26,864 ",87 ,2 ,"168,876 ",0.4 ,115 ,13.4%,6.0%,$1.71,$1.27 - $2.14,B0C2TR35LT,6.6%,3.8%,B0BQ2TZ1NV,3.8%,2.2%,B0D9PVJVCV,3.0%,0.0%,"B0BQ2TZ1NV,B000CQX62G,B08SJ3KTB2,B0BY8BFFQ9,B0BBVXRZ3F,B0BPGN9SRY,B0BX6B67T8,B07L5QGF38,B08GHNRG5Q,B0C2TR35LT"
room decor aesthetic,房间装饰美学,,0.19%,自然搜索词/视频广告词/SP广告词,"21,798 ",4 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129/B0CXJ9338V,"5,196","148,145 ",385 ,0.26%,"3,673,589 ","62,959 ",9 ,17 ,"117,030 ",1.3 ,327 ,12.9%,12.4%,$0.49,$0.37 - $0.61,B0D6KDW17P,5.3%,8.5%,B0BPLB81LX,3.9%,3.2%,B074NHRZQX,3.7%,0.7%,"B09FL6YR9L,B0BY8Z72BJ,B0D7LT74GG,B0BPLB81LX,B09V7M9DSK,B0CNT5DMHC,B08BKTTPRL,B0D4DJ6BRR,B0D5VS1V8V,B0CN11479K"
vintage,复古,,0.19%,自然搜索词,"21,523 ",3 ,B0C27FG8L9/B0CDRDK6MR/B0CGZS5129,"23,995","50,381 ",50 ,0.10%,"1,385,700 ","24,910 ",2 ,70 ,"151,250 ",0.3 ,326 ,10.8%,3.1%,$0.91,$0.66 - $1.13,B0C4KDHN3M,4.6%,3.1%,B0CWNVV16D,3.5%,0.0%,B0BQJM66C2,2.7%,0.0%,"B0BJGXKD9H,B0BZRLVGZF,B000GAWSDG,B07D11MVV8,B09LQJBCT7,B000GAYQJ0,B0C27FG8L9,B000LAKYW8,B0C4KDHN3M,1662938624"
gifts for sister,给妹妹的礼物,,0.19%,自然搜索词,"21,492 ",1 ,B0CDRDK6MR,"7,720","91,792 ","1,707 ",1.86%,"2,203,637 ","41,450 ",39 ,18 ,"181,299 ",0.5 ,214 ,12.4%,6.4%,$1.25,$0.93 - $1.50,B0BQ2TZ1NV,4.9%,4.2%,B0CJZF9XZZ,4.3%,0.7%,B0C2TR35LT,3.2%,1.5%,"B07BNJ76LM,B0BQ2TZ1NV,B08SJ3KTB2,B0C6H3SCK9,B0BBVXRZ3F,B000CQX62G,B09B1C9LC2,B083QGXVXB,B0CMCW75HD,B0CX22V7QD"
home decor aesthetic,家居装饰美学,,0.19%,自然搜索词/视频广告词,"21,383 ",4 ,B0C27FG8L9/B0CTJGJL2T/B0CDRDK6MR/B0CGZS5129,"43,819","33,853 ",77 ,0.23%,"723,062 ","13,106 ",2 ,5 ,"124,545 ",0.3 ,191 ,9.9%,10.2%,$3.40,$2.54 - $4.25,B0CD59K7PX,3.3%,6.1%,B09LQJBCT7,3.3%,2.0%,B0CG3Q4H5Q,3.3%,2.0%,"B0CKXC86CJ,B0D7LT74GG,B0CNT5DMHC,B0C7WH88W7,B0CD59K7PX,B0852WRDRS,B09V7XC4VV,B08PBG6QHZ,B0BY8Z72BJ,B0CDVXRKZY"
candle light warmer,烛光加热器,Y,0.19%,自然搜索词/AC推荐词/HR推荐词/视频广告词/SP广告词,"21,194 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"137,705","6,823 ",208 ,3.06%,"198,111 ","2,861 ",5 ,2 ,"1,696 ",4.0 ,37 ,18.1%,9.6%,$1.87,$1.35 - $2.20,B0CDRDK6MR,9.2%,6.4%,B0DDX8MYKQ,4.9%,2.1%,B0CHB2G96S,4.0%,1.1%,"B0CTJGJL2T,B0BWJRJYS7,B0D2XXX8CJ,B0CCYCBRSK,B0CNR9SF74,B0D8JH8PKN,B0D9HPTW4G,B0CGZS5129,B0CT274BX5,B0CP95C852"
candle warmer lamp with,,,0.19%,自然搜索词,"20,759 ",10 ,B0CXJ9338V/B0C2771TLS/B0DDX8MYKQ/B0CQQLYD3W/B0CZ9F35PT/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CFLRBTYN,"145,747","4,914 ",183 ,3.73%,"145,160 ","2,450 ",5 ,48 ,"1,323 ",3.7 ,31 ,22.7%,4.8%,$1.48,$1.17 - $1.84,B0CDRDK6MR,11.0%,0.0%,B0CQQLYD3W,6.7%,0.0%,B0DDX8MYKQ,4.9%,4.8%,"B0CNR9SF74,B0CTJGJL2T,B0D2WS9YFJ,B0CQQLYD3W,B0CZKRFLRL,B0CCYCBRSK,B0BWJRJYS7,B0D9HPTW4G,B0BY2CPNKH,B0D8JH8PKN"
lamp warmer,暖灯器,,0.18%,自然搜索词/视频广告词/SP广告词,"20,058 ",10 ,B0CXJ9338V/B0DDX8MYKQ/B0C2771TLS/B0CQQLYD3W/B0CTJGJL2T/B0C27FG8L9/B0CGZS5129/B0CDRDK6MR/B0CZ9F35PT/B0CFLRBTYN,"134,022","6,858 ",216 ,3.15%,"142,702 ","3,065 ",5 ,25 ,"1,479 ",4.6 ,33 ,21.1%,22.7%,$1.65,$1.23 - $2.04,B0CDRDK6MR,8.1%,8.0%,B0DDX8MYKQ,7.0%,4.0%,B0CQQLYD3W,6.0%,10.7%,"B0CTJGJL2T,B0D9HPTW4G,B0CXJ9338V,B0BWJRJYS7,B0D5GF7PMV,B0CHN15LWF,B0D8JH8PKN,B0CT274BX5,B0CQQLYD3W,B0C5JFFX7C"
last minute gifts,最后一分钟的礼物,,0.18%,自然搜索词,"19,968 ",1 ,B0CDRDK6MR,"7,459",,,,,,1 ,0 ,"39,221 ",0.0 ,97 ,10.1%,7.3%,$2.07,$1.39 - $2.81,B09B8V1LZ3,5.3%,3.3%,1452174792,2.4%,1.5%,B0C7ZQWQ7T,2.4%,2.5%,"B09VZ11WHK,B00VBUY3SS,B019HR91W4,B08YJ26Q4B,B0CFGNL3LX,B072P5VV4D,B07FVDH2H7,B06WVJBVT4,B01C9P3I9S,B07P8SQVXR"
home decor gifts,家居装饰礼品,,0.18%,自然搜索词/SP广告词,"19,918 ",9 ,B0DDX8MYKQ/B0CTJGJL2T/B0CGZS5129/B0CXJ9338V/B0C2771TLS/B0CDRDK6MR/B0C27FG8L9/B0CZ9F35PT/B0CFLRBTYN,"82,406","13,681 ",67 ,0.49%,"317,882 ","5,282 ",2 ,0 ,"167,572 ",0.1 ,167 ,13.7%,9.8%,$1.40,$1.05 - $1.75,B000QTUJXS,5.7%,3.3%,B09RN1ZH6L,4.3%,0.8%,B08YQRPYPS,3.7%,5.7%,"B09RN1ZH6L,B000QTUJXS,B07CWT7YYL,B09Y8SV5RY,B09Q4GWMZQ,B09Q4L157D,B091ZFL4X5,B0BWJRJYS7,B08YQRPYPS,B0BM9LPS47"
home gifts,家庭礼物,,0.18%,自然搜索词/HR推荐词,"19,836 ",7 ,B0DDX8MYKQ/B0CDRDK6MR/B0CTJGJL2T/B0CGZS5129/B0CXJ9338V/B0C2771TLS/B0C27FG8L9,"30,992","26,282 ",165 ,0.63%,"692,333 ","11,522 ",4 ,2 ,"216,097 ",0.1 ,128 ,8.0%,7.4%,$1.50,$0.97 - $1.71,B09RN1ZH6L,3.0%,1.6%,B09MQ5L5N9,2.6%,3.9%,B08YQRPYPS,2.4%,1.9%,"B09RN1ZH6L,B01DTFF0Y8,B0BPLB81LX,B085NDYY1P,B0BWJRJYS7,B07WYX1D4H,B0CC5Q5QRR,B0CJYN69ZY,B09Y8SV5RY,B09JT15JQF"
home decor gifts for women,给女性的家居装饰礼物,,0.18%,自然搜索词,"19,815 ",6 ,B0DDX8MYKQ/B0CGZS5129/B0C2771TLS/B0CDRDK6MR/B0C27FG8L9/B0CZ9F35PT,"57,491","15,044 ",616 ,4.10%,"413,426 ","7,065 ",15 ,0 ,"125,173 ",0.1 ,72 ,11.7%,8.2%,$1.97,$1.05 - $2.39,B08YQRPYPS,4.3%,4.6%,B07D29P5Z1,3.8%,2.6%,B000QTUJXS,3.5%,1.0%,"B07CWT7YYL,B09RN1ZH6L,B09Y8SV5RY,B0BWJRJYS7,B0BPLB81LX,B099FKMHQN,B08YQRPYPS,B07X8R8P73,B0C27FG8L9,B000QTUJXS"
